iter	Logloss
0	0.6262834514
1	0.5675080196
2	0.5208723878
3	0.4798681097
4	0.4468881835
5	0.4147228044
6	0.3876794782
7	0.3665323741
8	0.3443807108
9	0.3297162221
10	0.3152745771
11	0.3050114375
12	0.2931422284
13	0.2825469295
14	0.2734530068
15	0.2660107097
16	0.2589523492
17	0.2539060778
18	0.2479352432
19	0.2431663188
20	0.238014274
21	0.2338454223
22	0.2307332201
23	0.2285508049
24	0.2247738886
25	0.22205183
26	0.2204074466
27	0.2178762805
28	0.2152446876
29	0.2132080752
30	0.2107716687
31	0.2088032978
32	0.2072528789
33	0.2063213766
34	0.2050564737
35	0.203969138
36	0.2022166805
37	0.2010081464
38	0.19965412
39	0.1982661108
40	0.1969942356
41	0.1957162516
42	0.1947006889
43	0.1936902167
44	0.1930623269
45	0.1921430309
46	0.1913260803
47	0.1903200916
48	0.1898229083
49	0.1890889101
50	0.1883986999
51	0.1877419911
52	0.1870129269
53	0.1861644573
54	0.1854206432
55	0.1848421377
56	0.1840304685
57	0.1834280347
58	0.1829160379
59	0.1824159019
60	0.181800918
61	0.1813883124
62	0.1808777896
63	0.1801694532
64	0.1796398888
65	0.1791107389
66	0.1787938857
67	0.17833128
68	0.1776902242
69	0.1771425178
70	0.1767155972
71	0.1760500974
72	0.1757325401
73	0.1754197213
74	0.1749940264
75	0.1744148496
76	0.1738877615
77	0.1734045034
78	0.1728931276
79	0.1724627474
80	0.1721033446
81	0.1718484542
82	0.1714432053
83	0.1710956998
84	0.1705729929
85	0.1701516501
86	0.1697611122
87	0.1693237662
88	0.1691560238
89	0.1687101983
90	0.1685505585
91	0.1681797151
92	0.1677451745
93	0.1672947664
94	0.1668477907
95	0.1664750801
96	0.1660089028
97	0.1658134378
98	0.1655265557
99	0.1650551882
100	0.1646419657
101	0.16411135
102	0.1640071438
103	0.1636248043
104	0.1633505516
105	0.1629467938
106	0.1626763003
107	0.1624371137
108	0.1620899113
109	0.1617796716
110	0.1614338182
111	0.1610189411
112	0.1608167507
113	0.1605527232
114	0.1602560065
115	0.1600880494
116	0.1598193165
117	0.1595274279
118	0.1590962759
119	0.158794548
120	0.1585530302
121	0.1582875934
122	0.157990796
123	0.157863517
124	0.1575524008
125	0.1572029332
126	0.1569438912
127	0.1563242642
128	0.1560370667
129	0.1557694889
130	0.1555852514
131	0.1553356203
132	0.1549968119
133	0.1543470533
134	0.1537959805
135	0.1535768821
136	0.153202071
137	0.1527932739
138	0.1526684381
139	0.1524681094
140	0.1520926853
141	0.1517599721
142	0.1515399448
143	0.1511552223
144	0.1507431599
145	0.1506187246
146	0.1503827458
147	0.1501101517
148	0.1498792042
149	0.1495705606
150	0.1493802029
151	0.1490027034
152	0.1487837607
153	0.1484098272
154	0.1480068078
155	0.1477583147
156	0.14737808
157	0.1471779943
158	0.146941594
159	0.146477083
160	0.1461722634
161	0.1457719155
162	0.1455242179
163	0.1453600983
164	0.1450922748
165	0.14496933
166	0.1446213509
167	0.1443881139
168	0.1441199693
169	0.1439924757
170	0.1436218497
171	0.1433670281
172	0.143015462
173	0.1426428932
174	0.1423343354
175	0.142002829
176	0.1417770116
177	0.141418226
178	0.1411475523
179	0.1409181744
180	0.140779055
181	0.1406145603
182	0.1403590644
183	0.1399503475
184	0.1397741398
185	0.1395270866
186	0.1392594114
187	0.1390167993
188	0.1387088294
189	0.1386010463
190	0.1384431766
191	0.1382250063
192	0.1378948476
193	0.1376708936
194	0.1375269132
195	0.1372961239
196	0.1371017339
197	0.1365967514
198	0.1362222087
199	0.1357872628
200	0.1355624828
201	0.1353447675
202	0.1351888421
203	0.135070111
204	0.1346904203
205	0.1343103196
206	0.1338674968
207	0.1334138749
208	0.1332450684
209	0.1330332775
210	0.1328390003
211	0.1325922006
212	0.1323714023
213	0.1322506292
214	0.132061411
215	0.1320099324
216	0.1315954797
217	0.1313100584
218	0.1311081446
219	0.1308972659
220	0.1306222208
221	0.1303818813
222	0.1301964758
223	0.1299899418
224	0.1298505681
225	0.1295869847
226	0.1295638494
227	0.129371305
228	0.1292302503
229	0.1289922073
230	0.1287885444
231	0.1285576327
232	0.1281420839
233	0.1279442893
234	0.1277078459
235	0.1275246548
236	0.127390918
237	0.1269748571
238	0.1268545143
239	0.1266029494
240	0.1263641189
241	0.1259978808
242	0.1258191634
243	0.1255617029
244	0.1253344666
245	0.12516666
246	0.124799927
247	0.1245945776
248	0.1242080286
249	0.1239999135
250	0.1238178658
251	0.1235206898
252	0.1232749566
253	0.1231940878
254	0.1229917797
255	0.1226652856
256	0.1226054822
257	0.1225455277
258	0.122457865
259	0.1222685135
260	0.1220590192
261	0.1218676411
262	0.1216400124
263	0.1214317369
264	0.1212260728
265	0.1211172265
266	0.1206958186
267	0.1206176631
268	0.1203713372
269	0.1200987625
270	0.1196753746
271	0.1194537433
272	0.1192109655
273	0.1191238236
274	0.1188414341
275	0.1184142442
276	0.1182662819
277	0.1179407034
278	0.1177273402
279	0.117503039
280	0.1171403095
281	0.116993497
282	0.1167433872
283	0.1165447369
284	0.1163914408
285	0.1159352286
286	0.1157988312
287	0.1155303035
288	0.1153509645
289	0.1151049957
290	0.1149143584
291	0.1147231064
292	0.1145463029
293	0.1142015363
294	0.1139360515
295	0.1136840463
296	0.1134685634
297	0.1133980862
298	0.1131476113
299	0.1129306948
300	0.1128129672
301	0.1125745394
302	0.1124990086
303	0.1123808495
304	0.1122686642
305	0.1119637276
306	0.1117267273
307	0.1114694571
308	0.1113450848
309	0.1110358534
310	0.1108874194
311	0.1107840146
312	0.1106131448
313	0.1104112568
314	0.1102862569
315	0.1099869954
316	0.1097554475
317	0.1096752672
318	0.1093533454
319	0.1091534002
320	0.1090806158
321	0.108872681
322	0.1086914009
323	0.1085917638
324	0.1085293929
325	0.108410748
326	0.1082395206
327	0.1080150441
328	0.1079243312
329	0.1077795965
330	0.1075956608
331	0.1073276015
332	0.1070870158
333	0.106875929
334	0.1066303293
335	0.1064133958
336	0.1062425918
337	0.1059308351
338	0.1056849389
339	0.1055051585
340	0.105375114
341	0.1052220466
342	0.1050566252
343	0.1047851527
344	0.1044925782
345	0.1043395269
346	0.1040499157
347	0.1038851822
348	0.1036616024
349	0.1035116808
350	0.1032575048
351	0.1031808493
352	0.1029993843
353	0.1028113538
