resultId,raceId,driverId,constructorId,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,date,name,lat,lng,code,driverStandingsId,driver_standings_points,driver_standings_position,constructorStandingsId,constructor_standings_points,constructor_standings_position,constructor_standings_wins,q1,q2,q3,sprint_results_grid,sprint_results_positionOrder,sprint_results_points,sprint_results_laps,sprint_results_time,sprint_results_milliseconds,sprint_results_fastestLap,sprint_results_fastestLapTime,sprint_results_statusId,podium,driver_standings_points_PRE_RACE,constructor_standings_points_PRE_RACE,driver_standings_position_PRE_RACE,constructor_standings_position_PRE_RACE,driver_points_avg_last_10,driver_avg_position_last_5,driver_total_podiums,driver_races_completed,status_category,finished_lapped_rate_last_10,dnf_rate_last_10,disqualified_rate_last_10,not_classified_rate_last_10,driver_podium_rate_last_10,constructor_podium_rate_last_15,driver_sprint_points_avg_last_5,driver_races_at_circuit,driver_podium_rate_at_circuit,constructor_podium_rate_at_circuit,positionOrder_trend_season,driver_age,driver_avg_grid_last_5,drs_activation_rate_avg_last_3,drs_activation_rate_avg_last_5,drs_activation_rate_avg_last_10,position_change_rate_avg_last_3,position_change_rate_avg_last_5,position_change_rate_avg_last_10,lap_time_std_avg_last_3,lap_time_std_avg_last_5,lap_time_std_avg_last_10,first_pit_lap_avg_last_3,first_pit_lap_avg_last_5,first_pit_lap_avg_last_10,sector_speed_laptime_corr_avg_last_3,sector_speed_laptime_corr_avg_last_5,sector_speed_laptime_corr_avg_last_10,tyre_efficiency_index_avg_last_3,tyre_efficiency_index_avg_last_5,tyre_efficiency_index_avg_last_10,weather_airtemp_start,weather_tracktemp_start,weather_humidity_start,weather_pressure_start,weather_windspeed_start,weather_rainfall_start
5167,258,30,22,2,1.0,1,10.0,83,1:46:01.693,6361693.0,\N,\N,\N,\N,1,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,MSC,66053.0,20.0,1.0,25527.0,20.0,1.0,2.0,1:10.440,1:26.355,1:26.062,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,1,10.0,10.0,1.0,1.0,10.0,1.0,1.0,1,Finished,0.0,0.0,0.0,0.0,1.0,0.0666666666666666,0.0,0,0.0,0.0,0.0,25.28405201916496,2.0,,,,,,,,,,,,,,,,,,,,,,,,
5168,258,77,6,5,2.0,2,6.0,83,1:47:16.993,6436993.0,\N,\N,\N,\N,1,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66076.0,6.0,4.0,25529.0,10.0,2.0,0.0,1:11.744,1:26.459,1:26.857,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,1,0.0,4.0,6.0,5.0,0.0,24.0,0.0,1,Finished,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,34.639288158795345,9.5,,,,,,,,,,,,,,,,,,,,,,,,
5169,258,22,17,8,3.0,3,4.0,82,,,\N,\N,\N,\N,11,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,BAR,66056.0,7.0,2.0,25530.0,7.0,3.0,0.0,1:12.409,1:27.384,1:27.335,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,1,3.0,3.0,3.0,7.0,3.0,4.0,0.0,1,Finished_Lapped,1.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0,0.0,0.0,0.0,21.90006844626968,11.0,,,,,,,,,,,,,,,,,,,,,,,,
5170,258,104,29,9,4.0,4,3.0,82,,,\N,\N,\N,\N,11,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66071.0,3.0,6.0,25539.0,3.0,5.0,0.0,1:12.444,1:26.835,1:27.396,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,19.0,0.0,1,Finished_Lapped,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,23.24435318275154,11.0,,,,,,,,,,,,,,,,,,,,,,,,
5171,258,49,15,11,5.0,5,2.0,82,,,\N,\N,\N,\N,11,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66072.0,2.0,7.0,25532.0,3.0,6.0,0.0,1:12.686,1:27.525,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,1.0,6.0,11.0,0.0,20.0,0.0,1,Finished_Lapped,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.915811088295687,9.8,,,,,,,,,,,,,,,,,,,,,,,,
5172,258,100,33,16,6.0,6,1.0,80,,,\N,\N,\N,\N,13,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66061.0,1.0,9.0,25535.0,1.0,8.0,0.0,1:13.111,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,9.0,0.0,1,Finished_Lapped,1.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0,0.0,0.0,0.0,30.55167693360712,12.0,,,,,,,,,,,,,,,,,,,,,,,,
5173,258,65,32,23,7.0,7,0.0,80,,,\N,\N,\N,\N,13,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66059.0,0.0,11.0,25533.0,0.0,9.0,0.0,1:14.424,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,7.0,0.0,1,Finished_Lapped,1.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0,0.0,0.0,0.0,29.80971937029432,12.8,,,,,,,,,,,,,,,,,,,,,,,,
5174,258,83,32,24,8.0,8,0.0,79,,,\N,\N,\N,\N,14,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66062.0,0.0,12.0,25533.0,0.0,9.0,0.0,1:14.657,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,10.0,0.0,1,Finished_Lapped,1.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0,0.0,0.0,0.0,22.07529089664613,14.8,,,,,,,,,,,,,,,,,,,,,,,,
5175,258,44,27,22,9.0,9,0.0,78,,,\N,\N,\N,\N,15,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66063.0,0.0,14.0,25536.0,0.0,11.0,0.0,1:14.106,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,11.0,0.0,1,Finished_Lapped,1.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0,0.0,0.0,0.0,27.62217659137577,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5176,258,103,27,18,10.0,10,0.0,78,,,\N,\N,\N,\N,15,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66069.0,0.0,15.0,25536.0,0.0,11.0,0.0,1:13.613,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,17.0,0.0,1,Finished_Lapped,0.0,1.0,0.0,0.0,0.0,0.0714285714285714,0.0,0,0.0,0.0,0.0,29.6454483230664,19.4,,,,,,,,,,,,,,,,,,,,,,,,
5177,258,107,31,26,11.0,11,0.0,78,,,\N,\N,\N,\N,15,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66079.0,0.0,16.0,25537.0,0.0,12.0,0.0,1:16.536,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,27.0,0.0,1,Finished_Lapped,0.0,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0,0.0,0.0,0.0,33.78507871321013,22.2,,,,,,,,,,,,,,,,,,,,,,,,
5178,258,81,29,13,,12,0.0,69,,,\N,\N,\N,\N,5,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66075.0,0.0,18.0,25539.0,3.0,5.0,0.0,1:12.866,1:28.100,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,23.0,0.0,1,DNF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.258726899383984,19.2,,,,,,,,,,,,,,,,,,,,,,,,
5179,258,91,15,19,,13,0.0,69,,,\N,\N,\N,\N,4,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66058.0,1.0,10.0,25532.0,3.0,6.0,0.0,1:13.855,,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,1.0,1.0,5.0,11.0,1.0,6.0,0.0,1,DNF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.322381930184804,15.8,,,,,,,,,,,,,,,,,,,,,,,,
5180,258,105,18,15,,14,0.0,69,,,\N,\N,\N,\N,4,1994.0,2.0,28.0,1994-04-17,Pacific Grand Prix,34.915,134.221,\N,66074.0,0.0,21.0,25534.0,0.0,10.0,0.0,1:13.016,1:28.395,,0.0,0.0,0.0,0.0,0:00.000,0,0.0,0,0.0,0,0.0,0.0,6.0,13.0,0.0,22.0,0.0,1,DNF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,37.31416837782341,16.4,,,,,,,,,,,,,,,,,,,,,,,,
