model,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc
LightGBM,0.9591233187489874,0.840047806136217,0.9640663390663391,0.830609213403761
CatBoost,0.9570166909739103,0.8191869067619273,0.9621894621894622,0.8318274992665918
TabNet,0.9378139685626317,0.7787190728646267,0.9315793065793065,0.6993759388189199
