feature,podium_mean,non_podium_mean,difference,abs_difference
first_pit_lap_avg_last_3,21.068033854166664,20.179208273894435,0.8888255802722291,0.8888255802722291
first_pit_lap_avg_last_10,21.034323846726192,20.212679455620634,0.8216443911055578,0.8216443911055578
first_pit_lap_avg_last_5,20.950227864583333,20.24321449792038,0.7070133666629523,0.7070133666629523
tyre_efficiency_index_avg_last_3,5.509453225638366,6.112202453663683,-0.602749228025317,0.602749228025317
tyre_efficiency_index_avg_last_10,5.58063911505025,6.127979363181265,-0.5473402481310154,0.5473402481310154
tyre_efficiency_index_avg_last_5,5.585486342458169,6.119111404538599,-0.5336250620804304,0.5336250620804304
lap_time_std_avg_last_10,9.560826043744848,9.288671747425022,0.272154296319826,0.272154296319826
lap_time_std_avg_last_5,9.512887098442231,9.250975962045969,0.26191113639626273,0.26191113639626273
lap_time_std_avg_last_3,9.422757913566297,9.248141955479937,0.17461595808635977,0.17461595808635977
weather_pressure_start,986.8456647398845,986.6772026054165,0.16846213446797265,0.16846213446797265
position_change_rate_avg_last_3,0.12886251782198244,0.18983389579994317,-0.06097137797796073,0.06097137797796073
position_change_rate_avg_last_5,0.12895084115026445,0.18980299696394382,-0.060852155813679365,0.060852155813679365
position_change_rate_avg_last_10,0.1295808271571554,0.18982958945072473,-0.06024876229356932,0.06024876229356932
drs_activation_rate_avg_last_5,0.32794140312650377,0.35567179858899767,-0.027730395462493895,0.027730395462493895
drs_activation_rate_avg_last_3,0.3279059345138744,0.3555929953210023,-0.027687060807127906,0.027687060807127906
drs_activation_rate_avg_last_10,0.3287688099775825,0.3561490871881247,-0.027380277210542203,0.027380277210542203
weather_tracktemp_start,36.535260115606945,36.54970860473089,-0.01444848912394292,0.01444848912394292
sector_speed_laptime_corr_avg_last_3,0.15679445623600186,0.1682247394837808,-0.01143028324777895,0.01143028324777895
sector_speed_laptime_corr_avg_last_5,0.1577399750458407,0.16709612948928598,-0.009356154443445286,0.009356154443445286
sector_speed_laptime_corr_avg_last_10,0.16151259669849038,0.1694895739583711,-0.007976977259880724,0.007976977259880724
weather_humidity_start,53.92543352601156,53.92766540966747,-0.002231883655909428,0.002231883655909428
weather_airtemp_start,23.35491329479769,23.353719574905725,0.0011937198919653724,0.0011937198919653724
weather_windspeed_start,1.663583815028902,1.66403839561193,-0.0004545805830280525,0.0004545805830280525
